time (UTC),hex,callsign,latitude,longitude,Altitude (ft AMSL),squawk,Ground speed (kts),track,Vertical speed (fpm)
2018-10-28 23:24:08Z.508,0x8a0711,LNI610,-6.26756,106.66724,4600,1742,282,85,1664
2018-10-28 23:24:10Z.219,0x8a0711,LNI610  ,-6.26733,106.66905,4650,1742,283,83,1536
2018-10-28 23:24:10Z.272,0x8a0711,LNI610,-6.26765,106.66659,4575,1742,282,85,1664
2018-10-28 23:24:10Z.896,0x8a0711,LNI610,-6.2671,106.67038,4650,1742,282,82,1408
2018-10-28 23:24:11Z.418,0x8a0711,LNI610,-6.26692,106.67101,4675,1742,282,83,1536
2018-10-28 23:24:11Z.508,0x8a0711,LNI610,-6.26692,106.67101,4675,1742,282,84,1664
2018-10-28 23:24:11Z.946,0x8a0711,LNI610,-6.26692,106.67101,4675,1742,282,82,1344
2018-10-28 23:24:12Z.184,0x8a0711,LNI610,-6.2671,106.67038,4650,1742,282,82,1408
2018-10-28 23:24:13Z.604,0x8a0711,LNI610,-6.25648,106.60216,4700,1742,282,88,1536
2018-10-28 23:24:14Z.568,0x8a0711,LNI610,-6.26602,106.67516,4725,1742,284,78,1024
2018-10-28 23:24:15Z.201,0x8a0711,LNI610  ,-6.26602,106.67516,4725,1742,284,79,1024
2018-10-28 23:24:16Z.300,0x8a0711,LNI610,-6.26626,106.67441,4725,1742,284,78,1088
2018-10-28 23:24:16Z.474,0x8a0711,LNI610,-6.26533,106.67757,4750,1742,283,79,1152
2018-10-28 23:24:16Z.936,0x8a0711,LNI610,-6.26519,106.6781,4750,1742,284,78,1088
2018-10-28 23:24:17Z.362,0x8a0711,LNI610,-6.26519,106.6781,4750,1742,286,75,1024
2018-10-28 23:24:17Z.894,0x8a0711,LNI610,-6.265,106.67873,4750,1742,286,75,1088
2018-10-28 23:24:17Z.908,0x8a0711,LNI610,-6.26519,106.6781,4750,1742,286,75,1024
2018-10-28 23:24:19Z.746,0x8a0711,,0,0,4800,1742,284,78,1088
2018-10-28 23:24:20Z.044,0x8a0711,LNI610,-6.25648,106.60216,4725,1742,283,79,1152
2018-10-28 23:24:20Z.163,0x8a0711,LNI610  ,-6.26395,106.68195,4825,1742,287,72,1280
2018-10-28 23:24:20Z.422,0x8a0711,LNI610,-6.2637,106.68255,4825,1742,287,72,1344
2018-10-28 23:24:20Z.950,0x8a0711,LNI610,-6.2637,106.68255,4825,1742,287,72,1344
2018-10-28 23:24:21Z.570,0x8a0711,LNI610,-6.26317,106.68409,4850,1742,287,71,1408
2018-10-28 23:24:22Z.540,0x8a0711,LNI610,-6.26299,106.6846,4850,1742,288,70,1472
2018-10-28 23:24:24Z.080,0x8a0711,LNI610,-6.26216,106.68655,4900,1742,288,70,1536
2018-10-28 23:24:24Z.172,0x8a0711,LNI610,-6.26193,106.68719,4925,1742,288,70,1472
2018-10-28 23:24:24Z.304,0x8a0711,LNI610,-6.26248,106.68581,4900,1742,288,70,1472
2018-10-28 23:24:25Z.521,0x8a0711,LNI610  ,-6.2616,106.68795,4925,1742,289,69,1600
2018-10-28 23:24:25Z.714,0x8a0711,LNI610,-6.26142,106.68842,4950,1742,289,68,1600
2018-10-28 23:24:26Z.108,0x8a0711,,0,0,4975,1742,288,67,1664
2018-10-28 23:24:26Z.276,0x8a0711,LNI610,-6.26104,106.68932,4975,1742,289,68,1664
2018-10-28 23:24:26Z.586,0x8a0711,LNI610,-6.26058,106.69027,5000,1742,288,67,1664
2018-10-28 23:24:26Z.656,0x8a0711,LNI610,-6.26058,106.69027,5000,1742,288,67,1664
2018-10-28 23:24:28Z.486,0x8a0711,LNI610,-6.26081,106.6898,4975,1742,288,67,1664
2018-10-28 23:24:28Z.726,0x8a0711,LNI610,-6.25923,106.69293,5050,1742,288,64,1664
2018-10-28 23:24:30Z.185,0x8a0711,LNI610  ,-6.25859,106.6941,5075,1742,289,63,1600
2018-10-28 23:24:30Z.540,0x8a0711,LNI610,-6.2589,106.69349,5075,1742,288,64,1600
2018-10-28 23:24:31Z.250,0x8a0711,LNI610,-6.25768,106.69572,5125,1742,288,63,1600
2018-10-28 23:24:31Z.826,0x8a0711,LNI610,-6.25768,106.69572,5125,1742,288,63,1600
2018-10-28 23:24:31Z.872,0x8a0711,,0,0,5125,1742,289,65,1664
2018-10-28 23:24:32Z.710,0x8a0711,LNI610,-6.25732,106.69633,5150,1742,289,62,1600
2018-10-28 23:24:32Z.790,0x8a0711,LNI610,-6.25657,106.69761,5150,1742,288,60,1600
2018-10-28 23:24:32Z.854,0x8a0711,LNI610,-6.2569,106.69703,5150,1742,288,61,1600
2018-10-28 23:24:34Z.110,0x8a0711,LNI610,-6.25588,106.69875,5200,1742,289,59,1728
2018-10-28 23:24:34Z.606,0x8a0711,LNI610,-6.2569,106.69703,5150,1742,288,61,1600
2018-10-28 23:24:34Z.740,0x8a0711,LNI610,-6.25516,106.69987,5225,1742,289,59,1728
2018-10-28 23:24:35Z.121,0x8a0711,LNI610  ,-6.25516,106.69987,5225,1742,290,60,1792
2018-10-28 23:24:35Z.786,0x8a0711,LNI610,-6.25516,106.69987,5225,1742,289,59,1728
2018-10-28 23:24:36Z.386,0x8a0711,LNI610,-6.25434,106.70111,5275,1742,290,58,1728
2018-10-28 23:24:36Z.864,0x8a0711,LNI610,-6.25369,106.70215,5300,1742,290,58,1664
2018-10-28 23:24:37Z.256,0x8a0711,,0,0,5300,1742,289,65,1664
2018-10-28 23:24:37Z.778,0x8a0711,LNI610,-6.25342,106.70261,5300,1742,289,59,1728
2018-10-28 23:24:38Z.546,0x8a0711,LNI610,-6.25259,106.70383,5350,1742,289,57,1344
2018-10-28 23:24:38Z.770,0x8a0711,LNI610,-6.2522,106.70443,5350,1742,289,57,1216
2018-10-28 23:24:40Z.133,0x8a0711,LNI610  ,-6.25164,106.70533,5350,1742,289,57,1088
2018-10-28 23:24:41Z.068,0x8a0711,LNI610,-6.25057,106.70689,5400,1742,290,56,896
2018-10-28 23:24:41Z.490,0x8a0711,LNI610,-6.25015,106.70746,5400,1742,290,56,832
2018-10-28 23:24:41Z.534,0x8a0711,LNI610,-6.25015,106.70746,5400,1742,290,56,832
2018-10-28 23:24:41Z.992,0x8a0711,LNI610,-6.24987,106.70789,5400,1742,290,55,768
2018-10-28 23:24:42Z.338,0x8a0711,LNI610,-6.24954,106.70831,5400,1742,290,55,704
2018-10-28 23:24:42Z.412,0x8a0711,LNI610,-6.24987,106.70789,5400,1742,290,55,768
2018-10-28 23:24:43Z.116,0x8a0711,,0,0,5400,1742,292,55,704
2018-10-28 23:24:44Z.482,0x8a0711,LNI610,-6.24779,106.71076,5425,1742,292,55,640
2018-10-28 23:24:44Z.862,0x8a0711,LNI610,-6.24834,106.71002,5400,1742,292,55,640
2018-10-28 23:24:45Z.171,0x8a0711,LNI610  ,-6.2474,106.71134,5425,1742,293,55,512
2018-10-28 23:24:46Z.776,0x8a0711,LNI610,-6.24779,106.71076,5425,1742,292,55,640
2018-10-28 23:24:46Z.932,0x8a0711,LNI610,-6.24624,106.71286,5425,1742,293,54,448
2018-10-28 23:24:47Z.654,0x8a0711,LNI610,-6.24522,106.71432,5450,1742,294,53,320
2018-10-28 23:24:47Z.662,0x8a0711,LNI610,-6.24522,106.71432,5450,1742,294,53,320
2018-10-28 23:24:47Z.846,0x8a0711,,-6.24554,106.71385,5450,1742,292,55,704
2018-10-28 23:24:47Z.846,0x8a0711,,-6.24554,106.71385,5450,1742,292,55,704
2018-10-28 23:24:49Z.492,0x8a0711,LNI610,-6.24554,106.71385,5450,1742,293,54,384
2018-10-28 23:24:50Z.217,0x8a0711,LNI610  ,-6.24348,106.71658,5450,1742,294,53,256
2018-10-28 23:24:50Z.362,0x8a0711,LNI610,-6.24298,106.71722,5450,1742,293,53,192
2018-10-28 23:24:50Z.388,0x8a0711,LNI610,-6.24348,106.71658,5450,1742,293,53,256
2018-10-28 23:24:50Z.870,0x8a0711,LNI610,-6.24257,106.7178,5475,1742,293,52,128
2018-10-28 23:24:52Z.430,0x8a0711,LNI610,-6.24126,106.71949,5450,1742,293,52,128
2018-10-28 23:24:52Z.650,0x8a0711,LNI610,-6.24298,106.71722,5450,1742,293,53,192
2018-10-28 23:24:53Z.490,0x8a0711,LNI610,-6.24042,106.72057,5450,1742,292,52,-320
2018-10-28 23:24:53Z.520,0x8a0711,LNI610,-6.24075,106.72015,5450,1742,292,52,-320
2018-10-28 23:24:54Z.286,0x8a0711,LNI610,-6.24042,106.72057,5450,1742,292,52,-320
2018-10-28 23:24:54Z.938,0x8a0711,LNI610,-6.23926,106.72209,5450,1742,292,52,-320
2018-10-28 23:24:55Z.117,0x8a0711,LNI610  ,-6.23926,106.72209,5450,1742,292,53,-384
2018-10-28 23:24:56Z.460,0x8a0711,,-6.23808,106.72356,5425,1742,292,52,-448
2018-10-28 23:24:56Z.460,0x8a0711,,-6.23808,106.72356,5425,1742,292,52,-448
2018-10-28 23:24:56Z.774,0x8a0711,LNI610,-6.23808,106.72356,5425,1742,292,52,-512
2018-10-28 23:24:56Z.836,0x8a0711,LNI610,-6.23758,106.72422,5425,1742,292,52,-576
2018-10-28 23:24:57Z.504,0x8a0711,LNI610,-6.23716,106.72475,5400,1742,292,52,-704
2018-10-28 23:24:59Z.058,0x8a0711,LNI610,-6.23581,106.72649,5375,1742,292,52,-896
2018-10-28 23:24:59Z.632,0x8a0711,LNI610,-6.23534,106.7271,5350,1742,292,52,-960
2018-10-28 23:25:00Z.135,0x8a0711,LNI610  ,-6.23581,106.7265,5375,1742,292,52,-832
2018-10-28 23:25:01Z.936,0x8a0711,LNI610,-6.23534,106.7271,5350,1742,292,52,-960
2018-10-28 23:25:02Z.818,0x8a0711,LNI610,-6.23254,106.73069,5275,1742,294,51,-1728
2018-10-28 23:25:02Z.884,0x8a0711,LNI610,-6.23254,106.73069,5275,1742,293,51,-1600
2018-10-28 23:25:03Z.888,0x8a0711,LNI610,-6.23254,106.73069,5275,1742,294,51,-1728
2018-10-28 23:25:04Z.530,0x8a0711,LNI610,-6.23305,106.73003,5300,1742,293,51,-1600
2018-10-28 23:25:05Z.094,0x8a0711,LNI610,-6.23106,106.73256,5175,1742,294,51,-1856
2018-10-28 23:25:05Z.158,0x8a0711,LNI610  ,-6.23218,106.73111,5250,1742,295,52,-1856
2018-10-28 23:25:06Z.088,0x8a0711,LNI610,-6.23021,106.73362,5150,1742,296,51,-1792
2018-10-28 23:25:06Z.098,0x8a0711,LNI610,-6.23021,106.73362,5150,1742,296,51,-1728
2018-10-28 23:25:07Z.936,0x8a0711,LNI610,-6.22827,106.73615,5075,1742,300,52,-896
2018-10-28 23:25:08Z.020,0x8a0711,LNI610,-6.2286,106.73573,5075,1742,294,51,-1856
2018-10-28 23:25:08Z.452,0x8a0711,LNI610,-6.22774,106.73683,5100,1742,300,52,-768
2018-10-28 23:25:08Z.906,0x8a0711,LNI610,-6.22737,106.73725,5075,1742,300,52,-640
2018-10-28 23:25:09Z.024,0x8a0711,LNI610,-6.22774,106.73683,5100,1742,300,52,-896
2018-10-28 23:25:10Z.128,0x8a0711,LNI610  ,-6.2265,106.73837,5075,1742,301,52,-512
2018-10-28 23:25:11Z.854,0x8a0711,LNI610,-6.22517,106.74,5100,1742,301,51,64
2018-10-28 23:25:12Z.308,0x8a0711,LNI610,-6.22436,106.74098,5100,1742,301,51,0
2018-10-28 23:25:12Z.380,0x8a0711,LNI610,-6.22473,106.74056,5100,1742,301,51,128
2018-10-28 23:25:13Z.408,0x8a0711,LNI610,-6.22348,106.74203,5125,1742,301,50,192
2018-10-28 23:25:13Z.836,0x8a0711,LNI610,-6.22302,106.74256,5125,1742,301,50,192
2018-10-28 23:25:14Z.718,0x8a0711,LNI610,-6.22208,106.74364,5125,1742,300,49,192
2018-10-28 23:25:14Z.770,0x8a0711,LNI610,-6.22256,106.74307,5150,1742,301,50,192
2018-10-28 23:25:15Z.165,0x8a0711,LNI610  ,-6.22208,106.74364,5125,1742,301,50,192
2018-10-28 23:25:17Z.374,0x8a0711,LNI610,-6.21964,106.74624,5150,1742,299,48,512
2018-10-28 23:25:17Z.726,0x8a0711,LNI610,-6.22032,106.74554,5125,1742,299,48,512
2018-10-28 23:25:17Z.732,0x8a0711,LNI610,-6.21927,106.74666,5175,1742,299,47,576
2018-10-28 23:25:18Z.344,0x8a0711,LNI610,-6.21873,106.74714,5200,1742,299,47,576
2018-10-28 23:25:18Z.530,0x8a0711,LNI610,-6.21927,106.74666,5175,1742,299,48,576
2018-10-28 23:25:20Z.102,0x8a0711,LNI610,-6.2173,106.74861,5175,1742,298,46,256
2018-10-28 23:25:20Z.125,0x8a0711,LNI610  ,-6.2173,106.74861,5175,1742,298,46,256
2018-10-28 23:25:20Z.300,0x8a0711,LNI610,-6.2173,106.74861,5175,1742,298,45,192
2018-10-28 23:25:20Z.824,0x8a0711,LNI610,-6.21616,106.74963,5200,1742,297,44,64
2018-10-28 23:25:23Z.404,0x8a0711,LNI610,-6.21474,106.75094,5175,1742,297,43,-128
2018-10-28 23:25:23Z.684,0x8a0711,LNI610,-6.21421,106.7514,5175,1742,297,42,-384
2018-10-28 23:25:23Z.858,0x8a0711,LNI610,-6.21421,106.7514,5175,1742,297,42,-384
2018-10-28 23:25:24Z.406,0x8a0711,LNI610,-6.21309,106.7524,5150,1742,298,42,-640
2018-10-28 23:25:24Z.988,0x8a0711,LNI610,-6.21244,106.75292,5125,1742,298,42,-640
2018-10-28 23:25:25Z.247,0x8a0711,LNI610  ,-6.21244,106.75292,5125,1742,298,42,-704
2018-10-28 23:25:26Z.514,0x8a0711,LNI610,-6.21085,106.75429,5100,1742,297,40,-832
2018-10-28 23:25:27Z.034,0x8a0711,LNI610,-6.21085,106.75429,5100,1742,297,40,-832
2018-10-28 23:25:28Z.166,0x8a0711,LNI610,-6.20909,106.75567,5075,1742,298,39,-832
2018-10-28 23:25:28Z.290,0x8a0711,LNI610,-6.21085,106.75429,5100,1742,297,40,-832
2018-10-28 23:25:29Z.084,0x8a0711,LNI610,-6.20746,106.75699,5050,1742,300,38,-832
2018-10-28 23:25:30Z.086,0x8a0711,LNI610,-6.20686,106.75737,5025,1742,300,38,-832
2018-10-28 23:25:30Z.106,0x8a0711,LNI610,-6.20686,106.75737,5025,1742,300,38,-832
2018-10-28 23:25:30Z.168,0x8a0711,LNI610  ,-6.20746,106.75699,5050,1742,300,39,-832
2018-10-28 23:25:30Z.418,0x8a0711,LNI610,-6.20686,106.75737,5025,1742,300,38,-832
2018-10-28 23:25:31Z.586,0x8a0711,LNI610,-6.20472,106.75898,5025,1742,300,37,-576
2018-10-28 23:25:32Z.612,0x8a0711,LNI610,-6.20348,106.75988,5025,1742,300,37,-256
2018-10-28 23:25:32Z.888,0x8a0711,LNI610,-6.20348,106.75988,5025,1742,300,37,-256
2018-10-28 23:25:33Z.112,0x8a0711,LNI610,-6.20406,106.7595,5025,1742,300,37,-384
2018-10-28 23:25:34Z.132,0x8a0711,LNI610,-6.20306,106.7602,5025,1742,300,36,-128
2018-10-28 23:25:35Z.203,0x8a0711,LNI610  ,-6.20122,106.76144,5025,1742,300,36,192
2018-10-28 23:25:35Z.656,0x8a0711,LNI610,-6.20053,106.76192,5050,1742,299,35,320
2018-10-28 23:25:35Z.968,0x8a0711,LNI610,-6.20053,106.76192,5050,1742,300,35,192
2018-10-28 23:25:36Z.084,0x8a0711,LNI610,-6.20006,106.7622,5050,1742,299,35,384
2018-10-28 23:25:38Z.222,0x8a0711,LNI610,-6.19689,106.76414,5100,1742,297,32,640
2018-10-28 23:25:38Z.694,0x8a0711,LNI610,-6.19643,106.76447,5100,1742,296,31,704
2018-10-28 23:25:38Z.716,0x8a0711,LNI610,-6.19643,106.76447,5100,1742,296,31,704
2018-10-28 23:25:38Z.724,0x8a0711,LNI610,-6.19759,106.76376,5075,1742,298,33,576
2018-10-28 23:25:39Z.734,0x8a0711,LNI610,-6.19643,106.76447,5100,1742,297,32,640
2018-10-28 23:25:40Z.176,0x8a0711,LNI610  ,-6.19522,106.76514,5125,1742,297,32,640
2018-10-28 23:25:40Z.226,0x8a0711,LNI610,-6.1945,106.76556,5150,1742,295,31,640
2018-10-28 23:25:41Z.664,0x8a0711,LNI610,-6.19298,106.76642,5200,1742,294,30,576
2018-10-28 23:25:42Z.130,0x8a0711,LNI610,-6.19298,106.76642,5200,1742,294,30,512
2018-10-28 23:25:42Z.238,0x8a0711,LNI610,-6.19345,106.76618,5175,1742,294,30,576
2018-10-28 23:25:44Z.712,0x8a0711,,0,0,5225,1742,293,29,384
2018-10-28 23:25:44Z.760,0x8a0711,LNI610,-6.18973,106.76807,5225,1742,291,28,64
2018-10-28 23:25:45Z.189,0x8a0711,LNI610  ,-6.18973,106.76807,5225,1742,294,30,256
2018-10-28 23:25:45Z.842,0x8a0711,LNI610,-6.1891,106.76839,5225,1742,291,27,-64
2018-10-28 23:25:46Z.130,0x8a0711,LNI610,-6.1891,106.76839,5225,1742,291,27,-64
2018-10-28 23:25:46Z.804,0x8a0711,LNI610,-6.18668,106.76952,5200,1742,290,25,-512
2018-10-28 23:25:47Z.860,0x8a0711,LNI610,-6.18668,106.76952,5200,1742,291,27,-256
2018-10-28 23:25:47Z.860,0x8a0711,LNI610,-6.18668,106.76952,5200,1742,291,27,-256
2018-10-28 23:25:47Z.870,0x8a0711,LNI610,-6.18544,106.77007,5200,1742,290,25,-576
2018-10-28 23:25:48Z.332,0x8a0711,LNI610,-6.18544,106.77007,5200,1742,291,24,-704
2018-10-28 23:25:49Z.096,0x8a0711,LNI610,-6.18544,106.77007,5200,1742,291,24,-704
2018-10-28 23:25:49Z.838,0x8a0711,,-6.18419,106.77058,5175,1742,291,24,-832
2018-10-28 23:25:50Z.220,0x8a0711,LNI610  ,-6.18307,106.77106,5150,1742,291,23,-1024
2018-10-28 23:25:50Z.754,0x8a0711,LNI610,-6.18169,106.77165,5100,1742,291,23,-1024
2018-10-28 23:25:51Z.054,0x8a0711,LNI610,-6.18169,106.77165,5100,1742,291,23,-1024
2018-10-28 23:25:51Z.160,0x8a0711,LNI610,-6.18242,106.77133,5125,1742,291,23,-1024
2018-10-28 23:25:53Z.154,0x8a0711,LNI610,-6.17865,106.77286,5050,1742,291,22,-448
2018-10-28 23:25:53Z.204,0x8a0711,LNI610,-6.17865,106.77286,5050,1742,291,22,-448
2018-10-28 23:25:54Z.780,0x8a0711,LNI610,-6.1779,106.77319,5050,1742,291,22,-320
2018-10-28 23:25:54Z.850,0x8a0711,,-6.1779,106.77319,5050,1742,291,23,-960
2018-10-28 23:25:55Z.145,0x8a0711,LNI610  ,-6.17651,106.7737,5025,1742,292,22,128
2018-10-28 23:25:55Z.904,0x8a0711,LNI610,-6.17525,106.77423,5050,1742,292,22,576
2018-10-28 23:25:56Z.046,0x8a0711,LNI610,-6.1779,106.77319,5050,1742,291,22,-320
2018-10-28 23:25:56Z.886,0x8a0711,LNI610,-6.17464,106.77449,5050,1742,292,22,704
2018-10-28 23:25:57Z.438,0x8a0711,LNI610,-6.17399,106.77475,5075,1742,291,22,896
2018-10-28 23:25:57Z.982,0x8a0711,LNI610,-6.17278,106.77527,5150,1742,291,22,960
2018-10-28 23:25:59Z.012,0x8a0711,LNI610,-6.17138,106.77579,5150,1742,290,22,960
2018-10-28 23:25:59Z.830,0x8a0711,LNI610,-6.17079,106.77608,5175,1742,289,22,1024
2018-10-28 23:26:00Z.112,0x8a0711,LNI610  ,-6.17079,106.77608,5175,1742,290,22,1024
2018-10-28 23:26:00Z.798,0x8a0711,LNI610,-6.17017,106.77631,5200,1742,288,22,1024
2018-10-28 23:26:02Z.888,0x8a0711,LNI610,-6.16782,106.77729,5225,1742,287,22,768
2018-10-28 23:26:02Z.948,0x8a0711,LNI610,-6.16644,106.77785,5225,1742,287,22,704
2018-10-28 23:26:03Z.560,0x8a0711,LNI610,-6.16644,106.77785,5225,1742,287,22,704
2018-10-28 23:26:03Z.694,0x8a0711,LNI610,-6.16705,106.77759,5225,1742,287,22,704
2018-10-28 23:26:05Z.022,0x8a0711,LNI610,-6.16412,106.77878,5250,1742,289,22,1024
2018-10-28 23:26:05Z.114,0x8a0711,LNI610  ,-6.16412,106.77877,5250,1742,287,22,512
2018-10-28 23:26:05Z.742,0x8a0711,LNI610,-6.16412,106.77878,5250,1742,287,22,512
2018-10-28 23:26:05Z.910,0x8a0711,LNI610,-6.16412,106.77878,5250,1742,287,22,512
2018-10-28 23:26:06Z.058,0x8a0711,,0,0,5250,0,0,0,0
2018-10-28 23:26:06Z.492,0x8a0711,LNI610,-6.16286,106.7793,5250,1742,287,22,320
2018-10-28 23:26:07Z.072,0x8a0711,LNI610,-6.16164,106.7798,5275,1742,287,22,384
2018-10-28 23:26:07Z.898,0x8a0711,LNI610,-6.1604,106.78031,5275,1742,288,22,-128
2018-10-28 23:26:08Z.986,0x8a0711,LNI610,-6.15912,106.78082,5250,1742,288,22,-256
2018-10-28 23:26:09Z.754,0x8a0711,LNI610,-6.15975,106.78057,5250,1742,288,22,-192
2018-10-28 23:26:10Z.014,0x8a0711,LNI610,-6.15912,106.78082,5250,1742,288,22,-256
2018-10-28 23:26:10Z.168,0x8a0711,LNI610  ,-6.15775,106.78138,5225,1742,288,22,-320
2018-10-28 23:26:11Z.634,0x8a0711,LNI610,-6.15639,106.78194,5200,1742,289,22,-256
2018-10-28 23:26:12Z.232,0x8a0711,LNI610,-6.15564,106.78226,5200,1742,289,22,-192
2018-10-28 23:26:13Z.584,0x8a0711,LNI610,0,0,5250,1742,0,0,0
2018-10-28 23:26:13Z.586,0x8a0711,LNI610,-6.15335,106.78315,5225,1742,291,21,0
2018-10-28 23:26:13Z.994,0x8a0711,LNI610,-6.15564,106.78226,5200,1742,289,22,-192
2018-10-28 23:26:14Z.042,0x8a0711,LNI610,-6.15272,106.78342,5225,1742,293,21,0
2018-10-28 23:26:14Z.254,0x8a0711,LNI610,-6.15272,106.78342,5225,1742,291,21,0
2018-10-28 23:26:14Z.470,0x8a0711,LNI610,-6.1522,106.78361,5200,1742,293,21,-64
2018-10-28 23:26:15Z.106,0x8a0711,LNI610,-6.15141,106.78394,5225,1742,293,21,-64
2018-10-28 23:26:15Z.155,0x8a0711,LNI610  ,-6.1522,106.78361,5200,1742,293,22,0
2018-10-28 23:26:17Z.508,0x8a0711,LNI610,-6.14815,106.78517,5200,1742,296,21,-320
2018-10-28 23:26:18Z.116,0x8a0711,LNI610,-6.14754,106.78543,5175,1742,298,21,-320
2018-10-28 23:26:18Z.182,0x8a0711,LNI610,0,0,5175,1742,298,21,-256
2018-10-28 23:26:18Z.382,0x8a0711,LNI610,-6.14871,106.78498,5200,1742,296,21,-256
2018-10-28 23:26:19Z.682,0x8a0711,LNI610,-6.14662,106.78576,5175,1742,298,21,-256
2018-10-28 23:26:20Z.066,0x8a0711,LNI610,-6.1449,106.7864,5175,1742,299,21,-128
2018-10-28 23:26:20Z.147,0x8a0711,LNI610  ,-6.14557,106.78618,5175,1742,299,21,-128
2018-10-28 23:26:20Z.654,0x8a0711,LNI610,-6.1441,106.78668,5200,1742,300,20,-128
2018-10-28 23:26:20Z.832,0x8a0711,LNI610,-6.1449,106.7864,5175,1742,299,21,-128
2018-10-28 23:26:21Z.956,0x8a0711,LNI610,-6.1441,106.78668,5200,1742,300,20,-128
2018-10-28 23:26:23Z.172,0x8a0711,LNI610,-6.14075,106.78786,5175,1742,304,19,-256
2018-10-28 23:26:23Z.852,0x8a0711,LNI610,-6.14019,106.78806,5175,1742,304,19,-256
2018-10-28 23:26:23Z.872,0x8a0711,LNI610,0,0,5175,1742,298,21,-256
2018-10-28 23:26:24Z.050,0x8a0711,LNI610,-6.13953,106.78828,5150,1742,306,19,-320
2018-10-28 23:26:24Z.076,0x8a0711,LNI610,-6.13953,106.78828,5150,1742,304,19,-256
2018-10-28 23:26:25Z.199,0x8a0711,LNI610  ,-6.13829,106.78869,5150,1742,307,19,-256
2018-10-28 23:26:26Z.288,0x8a0711,LNI610,-6.13637,106.7893,5150,1742,308,18,-192
2018-10-28 23:26:26Z.374,0x8a0711,LNI610,-6.13703,106.7891,5150,1742,307,18,-192
2018-10-28 23:26:26Z.800,0x8a0711,LNI610,-6.13568,106.78953,5150,1742,309,17,-192
2018-10-28 23:26:26Z.822,0x8a0711,LNI610,-6.13568,106.78953,5150,1742,309,17,-192
2018-10-28 23:26:28Z.926,0x8a0711,LNI610,-6.13275,106.79042,5150,1742,310,17,-128
2018-10-28 23:26:29Z.668,0x8a0711,LNI610,0,0,5150,1742,298,21,-256
2018-10-28 23:26:29Z.980,0x8a0711,LNI610,-6.13135,106.7908,5125,1742,298,21,-256
2018-10-28 23:26:30Z.137,0x8a0711,LNI610  ,-6.13191,106.79066,5125,1742,312,17,-192
2018-10-28 23:26:30Z.506,0x8a0711,LNI610,-6.13135,106.7908,5125,1742,313,16,-192
2018-10-28 23:26:31Z.292,0x8a0711,LNI610,-6.12981,106.79128,5125,1742,313,16,-192
2018-10-28 23:26:31Z.786,0x8a0711,LNI610,-6.13191,106.79066,5125,1742,311,17,-192
2018-10-28 23:26:32Z.406,0x8a0711,LNI610,-6.12781,106.79185,5125,1742,315,16,-256
2018-10-28 23:26:33Z.504,0x8a0711,LNI610,-6.12697,106.79213,5125,1742,316,16,-320
2018-10-28 23:26:34Z.272,0x8a0711,LNI610,-6.12697,106.79213,5125,1742,316,16,-320
2018-10-28 23:26:34Z.574,0x8a0711,LNI610,-6.12553,106.79251,5125,1742,315,16,-256
2018-10-28 23:26:35Z.166,0x8a0711,LNI610  ,-6.12483,106.79274,5100,1742,316,16,-576
2018-10-28 23:26:35Z.842,0x8a0711,LNI610,-6.12288,106.79331,5075,1742,316,16,-576
2018-10-28 23:26:36Z.514,0x8a0711,LNI610,-6.12344,106.79312,5075,1742,316,16,-640
2018-10-28 23:26:36Z.858,0x8a0711,LNI610,-6.12158,106.79367,5075,1742,316,16,-640
2018-10-28 23:26:38Z.054,0x8a0711,LNI610,-6.12158,106.79367,5075,1742,316,16,-640
2018-10-28 23:26:38Z.130,0x8a0711,LNI610,-6.12288,106.79331,5075,1742,316,16,-576
2018-10-28 23:26:38Z.752,0x8a0711,LNI610,-6.11957,106.79421,5050,1742,317,16,-512
2018-10-28 23:26:38Z.960,0x8a0711,LNI610,-6.11873,106.79445,5050,1742,317,16,-576
2018-10-28 23:26:39Z.342,0x8a0711,LNI610,-6.11873,106.79445,5050,1742,317,15,-512
2018-10-28 23:26:40Z.127,0x8a0711,LNI610  ,-6.11771,106.79469,5050,1742,318,16,-512
2018-10-28 23:26:40Z.148,0x8a0711,LNI610,-6.11873,106.79445,5050,1742,317,15,-512
2018-10-28 23:26:41Z.554,0x8a0711,LNI610,-6.11482,106.79535,5000,1742,318,14,-192
2018-10-28 23:26:42Z.018,0x8a0711,LNI610,-6.11407,106.79549,5000,1742,319,13,-64
2018-10-28 23:26:43Z.226,0x8a0711,LNI610,-6.11249,106.79578,5025,1742,319,13,64
2018-10-28 23:26:44Z.254,0x8a0711,LNI610,-6.11069,106.796,5025,1742,319,10,320
2018-10-28 23:26:44Z.314,0x8a0711,LNI610,-6.11407,106.79549,5000,1742,319,13,-64
2018-10-28 23:26:44Z.836,0x8a0711,LNI610,-6.10998,106.7961,5025,1742,319,9,320
2018-10-28 23:26:44Z.838,0x8a0711,LNI610,-6.10998,106.7961,5025,1742,319,9,320
2018-10-28 23:26:45Z.147,0x8a0711,LNI610  ,-6.10998,106.79611,5025,1742,319,10,320
2018-10-28 23:26:47Z.996,0x8a0711,LNI610,-6.10524,106.7967,5075,1742,318,7,256
2018-10-28 23:26:48Z.034,0x8a0711,LNI610,-6.10598,106.79658,5075,1742,318,7,320
